Fecha,Bateria,Odometro,Rango,Eficiencia_50km,Eficiencia_total,Consumo_medidor,Inicio_Fin,costo
2015-05-08 0:00,0.3,705,158,14.5,14.7,0,i,545.33
2015-05-08 0:00,0.99,705,515,14.5,14.7,71,f,545.33
2015-05-12 0:00,0.75,838,393,15.6,14.7,71,i,545.33
2015-05-12 0:00,0.95,838,496,15.6,14.7,92,f,545.33
2015-05-15 0:00,0.75,919,404,16,14.7,92,i,545.33
2015-05-15 0:00,1,919,520,16,14.7,115,f,545.33
2015-05-19 0:00,0.59,1150,308,16,14.6,115,i,1704
2015-05-19 0:00,0.81,1150,421,16,14.6,137,f,1704
2015-05-20 0:00,0.75,1175,394,12.6,14.6,137,i,1704
2015-05-20 0:00,1,1175,520,12.6,14.6,163,f,1704
2015-05-25 0:00,0.58,1405,305,15.3,14.5,163,i,1704
2015-05-25 0:00,0.98,1405,511,15.3,14.5,205,f,1704
2015-05-29 0:00,0.75,1533,392,15.6,14.4,205,i,1704
2015-05-29 0:00,0.99,1533,515,15.6,14.4,230,f,1704
2015-06-05 0:00,0.65,1712,338,12.8,14.4,230,i,1704
2015-06-05 0:00,0.93,1712,490,12.8,14.4,260,f,1704
2015-06-09 0:00,0.57,1891,299,16.8,14.5,260,i,1704
2015-06-09 0:00,0.88,1891,460,16.8,14.5,291,f,1704
2015-06-10 0:00,0.88,1891,460,16.8,14.5,291,i,1704
2015-06-10 0:00,1,1891,520,16.8,14.5,303,f,1704
2015-06-17 0:00,0.64,2068,332,14.7,14.5,303,i,1704
2015-06-17 0:00,0.96,2068,500,14.7,14.5,338,f,1704
2015-06-20 0:00,0.89,2102,466,16.1,14.5,338,i,1704
2015-06-20 0:00,0.99,2102,515,16.1,14.5,350,f,1704
2015-06-23 0:00,0.85,2180,445,14.9,14.5,350,i,1704
2015-06-23 0:00,1,2180,520,14.9,14.5,365,f,1704
2015-07-01 0:00,0.66,2374,343,15.6,14.5,365,i,1704
2015-07-01 0:00,0.93,2374,484,15.6,14.5,393,f,1704
2015-07-09 0:00,0.36,2663,185,17.1,14.5,393,i,1704
2015-07-09 0:00,0.96,2663,498,17.1,14.5,456,f,1704
2015-07-22 0:00,0.4,2967,210,12.5,14.6,456,i,1258
2015-07-22 0:00,0.73,2967,379,12.5,14.6,488,f,1258
2015-07-24 0:00,0.66,2999,345,12.7,14.6,488,i,1258
2015-07-24 0:00,0.98,2999,510,12.7,14.6,522,f,1258
2015-08-07 16:43,0.43,3295,222,12.2,14.6,522,i,1258
2015-08-07 22:18,0.82,3295,431,12.2,14.6,562,f,1258
2015-08-16 12:49,0.53,3439,275,12,14.6,562,i,1258
2015-08-16 14:06,0.62,3439,322,12,14.6,571,f,1258
2015-08-18 16:19,0.57,3466,295,12.2,14.6,571,i,1258
2015-08-18 19:15,0.77,3466,405,12.2,14.6,592,f,1258
2015-08-21 19:02,0.55,3581,284,12.5,14.6,592,i,1258
2015-08-21 20:50,0.67,3581,351,12.5,14.6,604,f,1258
2015-08-23 11:30,0.65,3590,340,12.1,14.6,604,i,1258
2015-08-23 12:30,0.72,3590,378,12.1,14.6,611,f,1258
2015-08-25 15:59,0.72,3593,374,12.4,14.6,611,i,1258
2015-08-25 17:01,0.79,3593,412,12.4,14.6,619,f,1258
2015-08-29 16:06,0.56,3706,290,12.5,14.6,619,i,1258
2015-08-29 17:06,0.61,3706,318,12.5,14.6,626,f,1258
2015-09-01 17:56,0.56,3740,290,12.3,14.6,626,i,1258
2015-09-01 18:58,0.63,3740,329,12.3,14.6,633,f,1258
2015-09-05 20:00,0.5,3840,262,11.6,14.6,633,i,1258
2015-09-05 21:06,0.58,3840,303,11.6,14.6,641,f,1258
2015-09-08 19:19,0.51,3837,266,12.6,14.6,641,i,1258
2015-09-08 20:20,0.59,3837,305,12.6,14.6,648,f,1258
2015-09-09 10:32,0.59,3837,305,12.6,14.6,648,i,1258
2015-09-09 11:36,0.66,3837,345,12.6,14.6,655,f,1258
2015-09-10 13:50,0.61,3861,317,12.9,14.7,655,i,1258
2015-09-10 14:54,0.68,3861,356,12.9,14.7,663,f,1258
2015-09-12 12:59,0.52,3940,272,14.7,14.6,663,i,1258
2015-09-12 14:20,0.61,3940,320,14.7,14.6,672,f,1258
2015-09-14 9:53,0.41,4051,211,13,14.6,672,i,1258
2015-09-14 11:07,0.49,4051,260,13,14.6,680,f,1258
2015-09-15 18:21,0.37,4112,193,12.6,14.6,680,i,1258
2015-09-15 19:27,0.45,4112,235,12.6,14.6,688,f,1258
2015-09-16 9:03,0.45,4112,235,12.6,14.6,688,i,1258
2015-09-16 10:34,0.56,4112,291,12.6,14.6,699,f,1258
2015-09-18 9:58,0.41,4189,215,14.8,14.6,699,i,1258
2015-09-18 11:12,0.5,4189,262,14.8,14.6,707,f,1258
2015-09-19 11:29,0.5,4190,260,14.8,14.6,707,i,1190
2015-09-19 12:42,0.59,4190,306,14.8,14.6,716,f,1190
2015-09-22 10:11,0.31,4336,162,14.8,14.6,716,i,1190
2015-09-22 11:45,0.42,4336,220,14.8,14.6,727,f,1190
2015-09-23 13:29,0.42,4336,220,14.8,14.6,727,i,1190
2015-09-23 15:03,0.53,4336,278,14.8,14.6,738,f,1190
2015-09-24 19:40,0.46,4369,241,13.5,14.6,738,i,1190
2015-09-24 20:42,0.54,4369,280,13.5,14.6,746,f,1190
2015-09-27 13:25,0.49,4395,257,12.6,14.6,746,i,1190
2015-09-27 14:34,0.57,4395,300,12.6,14.6,754,f,1190
2015-09-30 14:41,0.57,4395,300,12.6,14.6,754,i,1190
2015-09-30 16:09,0.68,4395,354,12.6,14.6,765,f,1190
2015-10-03 17:32,0.63,4420,329,12.6,14.6,765,i,1190
2015-10-03 19:06,0.74,4420,386,12.6,14.6,776,f,1190
2015-10-07 19:06,0.61,4483,317,12.4,14.6,776,i,1190
2015-10-07 20:40,0.72,4483,375,12.4,14.6,787,f,1190
2015-10-08 16:23,0.67,4507,350,13,14.6,787,i,1190
2015-10-08 20:09,0.8,4507,417,13,14.6,799,f,1190
2015-10-09 18:18,0.75,4531,392,12.6,14.6,799,i,1190
